ID,Udzial,Adres,Miasto,Metraz,Pokoje,Pietro,Cena,Data_transakcji
226201_1.0019.3467_BUD.1_LOK,1/1,Wzgórze Bernadowo 17,Gdynia,97.0 m²,0,1,1 800 000 zł,1.09.2025
226201_1.0014.2229_BUD.39_LOK,1/1,Zbigniewa Kupca 3,Gdynia,61.2 m²,0,4,696 466 zł,1.09.2025
226201_1.0014.2229_BUD.56_LOK,1/1,Zbigniewa Kupca 3,Gdynia,38.6 m²,0,5,472 657 zł,1.09.2025
226201_1.0014.2229_BUD.67_LOK,1/1,Zbigniewa Kupca 3,Gdynia,41.4 m²,0,6,492 399 zł,1.09.2025
226201_1.0014.2229_BUD.3_LOK,1/1,Zbigniewa Kupca 3,Gdynia,44.3 m²,0,1,488 484 zł,1.09.2025
226201_1.0014.2229_BUD.7_LOK,1/1,Zbigniewa Kupca 3,Gdynia,54.5 m²,0,1,580 764 zł,1.09.2025
246901_1.0002.AR_1.7/4.1_BUD.24_LOK,4,ul. Bytkowska 113,Katowice,59.1 m²,3,5,700 000 zł,1.09.2025
126104_9.0041.309/2.1_BUD.22_LOK,1/1,Jana Kantego Federowicza 25,Kraków,55.5 m²,3,2,790 000 zł,1.09.2025
126102_9.0004.268/3.1_BUD.5_LOK,1/1,Juliusza Lea 25,Kraków,56.9 m²,3,3,1 075 000 zł,1.09.2025
126104_9.0041.309/2.1_BUD.9_LOK,1/1,Jana Kantego Federowicza 25,Kraków,54.8 m²,3,1,800 000 zł,1.09.2025
126105_9.0022.436.3_BUD.7_LOK,1/1,Dominikanów 28,Kraków,52.8 m²,3,1,898 000 zł,1.09.2025
126102_9.0029.558/18.1_BUD.40_LOK,1/1,Papierni Prądnickich 71,Kraków,73.1 m²,4,4,1 009 745 zł,29.08.2025
126104_9.0041.465.2_BUD.17_LOK,1/1,Karola Bunscha 14A,Kraków,43.6 m²,2,2,576 917 zł,29.08.2025
126102_9.0034.1155.1_BUD.18_LOK,1/1,Stawowa 158,Kraków,73.5 m²,4,3,1 423 184 zł,29.08.2025
126103_9.0003.518/16.2_BUD.18_LOK,1/1,Niebyła 7C,Kraków,72.7 m²,2,3,530 783 zł,29.08.2025
226201_1.0019.3466_BUD.13_LOK,1/1,Wzgórze Bernadowo 24,Gdynia,98.2 m²,0,1,2 010 867 zł,29.08.2025
226201_1.0014.2229_BUD.55_LOK,1/1,Zbigniewa Kupca 3,Gdynia,41.4 m²,0,5,464 765 zł,29.08.2025
226201_1.0014.2229_BUD.40_LOK,1/1,Zbigniewa Kupca 3,Gdynia,45.1 m²,0,4,501 404 zł,29.08.2025
226201_1.0014.2229_BUD.29_LOK,1/1,Zbigniewa Kupca 3,Gdynia,82.4 m²,0,3,843 006 zł,29.08.2025
226201_1.0014.2229_BUD.57_LOK,1/1,Zbigniewa Kupca 3,Gdynia,44.5 m²,0,6,542 122 zł,29.08.2025
226201_1.0014.2229_BUD.36_LOK,1/1,Zbigniewa Kupca 3,Gdynia,74.6 m²,0,4,846 029 zł,29.08.2025
226201_1.0014.2229_BUD.18_LOK,1/1,Zbigniewa Kupca 3,Gdynia,50.7 m²,0,2,508 987 zł,29.08.2025
226201_1.0022.2576_BUD.19_LOK,1/1,Bernadowska 2,Gdynia,125.2 m²,0,3,3 037 176 zł,29.08.2025
226201_1.0014.2229_BUD.26_LOK,1/1,Zbigniewa Kupca 3,Gdynia,42.4 m²,0,3,503 352 zł,29.08.2025
226201_1.0014.2229_BUD.52_LOK,1/1,Zbigniewa Kupca 3,Gdynia,45.1 m²,0,5,522 574 zł,29.08.2025
246901_1.0002.AR_66.108/34.1_BUD.54_LOK,4,ul. Ceglana 61,Katowice,29.3 m²,1,5,295 700 zł,29.08.2025
246901_1.0002.AR_66.108/34.1_BUD.114_LOK,4,ul. Ceglana 61,Katowice,29.8 m²,1,6,300 778 zł,29.08.2025
246901_1.0001.AR_25.42/2.1_BUD.559_LOK,4,ul. Zabrska 15,Katowice,55.8 m²,3,13,701 470 zł,29.08.2025
246901_1.0002.AR_54.13/1.1_BUD.118_LOK,4,ul. Przemysłowa 1,Katowice,26.3 m²,1,1,317 746 zł,29.08.2025
246901_1.0003.AR_90.15/6.2_BUD.3_LOK,4,ul. Medyków 34,Katowice,56.3 m²,3,2,500 210 zł,28.08.2025
246901_1.0003.AR_90.15/6.2_BUD.58_LOK,4,ul. Medyków 34,Katowice,39.5 m²,2,2,350 750 zł,28.08.2025
246901_1.0003.AR_90.15/6.2_BUD.2_LOK,4,ul. Medyków 34,Katowice,53.4 m²,3,2,474 370 zł,28.08.2025
